name,ex,em,hardness,error_pair__model_output,error_pair__ground_truth
SPIDER_dev_10,TRUE,FALSE,medium,,
SPIDER_dev_11,TRUE,FALSE,medium,,
SPIDER_dev_12,FALSE,FALSE,hard,"[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|singer)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Age), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='avg'), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['comparative', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2']), QDMRStepArg(arg_type='grounding', arg=comparative|>|Dangerous|col|singer|Song_Name)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Song_Name), QDMRStepArg(arg_type='ref', arg=['#4'])], False]]","[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|singer)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Age), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='avg'), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['comparative', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2']), QDMRStepArg(arg_type='grounding', arg=comparative|>|#3)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Song_Name), QDMRStepArg(arg_type='ref', arg=['#4'])], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Song_Name), QDMRStepArg(arg_type='ref', arg=['#5'])], False]]"
SPIDER_dev_13,FALSE,FALSE,hard,"[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|singer)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|stadium|Average), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='avg'), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['comparative', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2']), QDMRStepArg(arg_type='grounding', arg=comparative|>|Dangerous|col|singer|Song_Name)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Song_Name), QDMRStepArg(arg_type='ref', arg=['#4'])], False]]","[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|singer)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Age), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='avg'), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['comparative', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2']), QDMRStepArg(arg_type='grounding', arg=comparative|>|#3)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Song_Name), QDMRStepArg(arg_type='ref', arg=['#4'])], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Song_Name), QDMRStepArg(arg_type='ref', arg=['#5'])], False]]"
SPIDER_dev_14,TRUE,FALSE,medium,,
SPIDER_dev_15,FALSE,FALSE,medium,"[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|stadium)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|stadium|Capacity), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['comparative', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2']), QDMRStepArg(arg_type='grounding', arg=comparative|<=|5000|col|stadium|Capacity)], False], ['comparative', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2']), QDMRStepArg(arg_type='grounding', arg=comparative|<=|5000|col|stadium|Capacity)], False], ['intersection', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#3']), QDMRStepArg(arg_type='ref', arg=['#4'])]], ['project', [QDMRStepArg(arg_type='grounding', arg=col|stadium|Location), QDMRStepArg(arg_type='ref', arg=['#5'])], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|stadium|Name), QDMRStepArg(arg_type='ref', arg=['#5'])], False], ['union', [QDMRStepArg(arg_type='ref', arg=['#6']), QDMRStepArg(arg_type='ref', arg=['#7']), QDMRStepArg(arg_type='grounding', arg=None), QDMRStepArg(arg_type='grounding', arg=None)]]]","[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|stadium)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|stadium|Capacity), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['comparative', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2']), QDMRStepArg(arg_type='grounding', arg=comparative|<=|10000|col|stadium|Capacity)], False], ['comparative', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2']), QDMRStepArg(arg_type='grounding', arg=comparative|>=|5000|col|stadium|Capacity)], False], ['intersection', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#3']), QDMRStepArg(arg_type='ref', arg=['#4'])]], ['project', [QDMRStepArg(arg_type='grounding', arg=col|stadium|Location), QDMRStepArg(arg_type='ref', arg=['#5'])], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|stadium|Name), QDMRStepArg(arg_type='ref', arg=['#5'])], False], ['union', [QDMRStepArg(arg_type='ref', arg=['#6']), QDMRStepArg(arg_type='ref', arg=['#7'])]]]"
SPIDER_dev_17,FALSE,FALSE,medium,"[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|stadium)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|stadium|Average), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='avg'), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='max'), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['union', [QDMRStepArg(arg_type='ref', arg=['#3']), QDMRStepArg(arg_type='ref', arg=['#4']), QDMRStepArg(arg_type='grounding', arg=None), QDMRStepArg(arg_type='grounding', arg=None)]]]","[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|stadium)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|stadium|Capacity), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='avg'), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='max'), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['union', [QDMRStepArg(arg_type='ref', arg=['#3']), QDMRStepArg(arg_type='ref', arg=['#4'])]]]"
SPIDER_dev_18,TRUE,FALSE,medium,,
SPIDER_dev_19,TRUE,FALSE,medium,,
SPIDER_dev_20,TRUE,FALSE,medium,,
SPIDER_dev_21,TRUE,FALSE,medium,,
SPIDER_dev_22,TRUE,FALSE,medium,,
SPIDER_dev_23,TRUE,FALSE,medium,,
SPIDER_dev_24,TRUE,FALSE,extra,,
SPIDER_dev_25,TRUE,FALSE,extra,,
SPIDER_dev_26,TRUE,TRUE,hard,,
SPIDER_dev_27,TRUE,FALSE,hard,,
SPIDER_dev_29,TRUE,TRUE,hard,,
SPIDER_dev_30,TRUE,FALSE,hard,,
SPIDER_dev_31,TRUE,FALSE,hard,,
SPIDER_dev_33,TRUE,FALSE,medium,,
SPIDER_dev_34,TRUE,FALSE,medium,,
SPIDER_dev_35,TRUE,FALSE,medium,,
SPIDER_dev_36,TRUE,FALSE,medium,,
SPIDER_dev_37,TRUE,FALSE,hard,,
SPIDER_dev_38,FALSE,FALSE,hard,"[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|singer)], False], ['comparative', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='grounding', arg=comparative|=|2014|col|singer|Song_release_year)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Name), QDMRStepArg(arg_type='ref', arg=['#2'])], False]]","[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|concert)], False], ['comparative', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='grounding', arg=comparative|=|2014|col|concert|Year)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=tbl|singer_in_concert), QDMRStepArg(arg_type='ref', arg=['#2'])], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|singer|Name), QDMRStepArg(arg_type='ref', arg=['#3'])], False]]"
SPIDER_dev_39,TRUE,FALSE,medium,,
SPIDER_dev_40,TRUE,FALSE,medium,,
SPIDER_dev_41,TRUE,FALSE,extra,,
SPIDER_dev_42,TRUE,FALSE,extra,,
SPIDER_dev_43,FALSE,FALSE,hard,"[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|stadium)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|stadium|Capacity), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['superlative', [QDMRStepArg(arg_type='grounding', arg='max'), QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['project', [QDMRStepArg(arg_type='grounding', arg=tbl|concert), QDMRStepArg(arg_type='ref', arg=['#3'])], False], ['aggregate', [QDMRStepArg(arg_type='grounding', arg=col|stadium|Capacity), QDMRStepArg(arg_type='ref', arg=['#4'])]]]","[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|stadium)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|stadium|Capacity), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['superlative', [QDMRStepArg(arg_type='grounding', arg='max'), QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['project', [QDMRStepArg(arg_type='grounding', arg=tbl|concert), QDMRStepArg(arg_type='ref', arg=['#3'])], False], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='count'), QDMRStepArg(arg_type='ref', arg=['#4'])]]]"
SPIDER_dev_44,TRUE,TRUE,hard,,
SPIDER_dev_45,TRUE,TRUE,easy,,
SPIDER_dev_46,TRUE,TRUE,easy,,
SPIDER_dev_47,TRUE,FALSE,hard,,
SPIDER_dev_48,FALSE,FALSE,hard,"[['select', [QDMRStepArg(arg_type='grounding', arg=val|Pets|PetType|dog)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Pets|weight), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['superlative', [QDMRStepArg(arg_type='grounding', arg='min'), QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='max'), QDMRStepArg(arg_type='ref', arg=['#3'])]]]","[['select', [QDMRStepArg(arg_type='grounding', arg=val|Pets|PetType|dog)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Pets|pet_age), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['superlative', [QDMRStepArg(arg_type='grounding', arg='min'), QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Pets|weight), QDMRStepArg(arg_type='ref', arg=['#3'])], False]]"
SPIDER_dev_49,FALSE,FALSE,medium,"[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|Pets)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Pets|weight), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['group', [QDMRStepArg(arg_type='grounding', arg='max'), QDMRStepArg(arg_type='ref', arg=['#2']), QDMRStepArg(arg_type='ref', arg=['#1'])]], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Pets|PetType), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['union', [QDMRStepArg(arg_type='ref', arg=['#3']), QDMRStepArg(arg_type='ref', arg=['#4']), QDMRStepArg(arg_type='grounding', arg=None), QDMRStepArg(arg_type='grounding', arg=None)]]]","[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|Pets)], False], ['select', [QDMRStepArg(arg_type='grounding', arg=col|Pets|PetType)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Pets|weight), QDMRStepArg(arg_type='ref', arg=['#2'])], False], ['group', [QDMRStepArg(arg_type='grounding', arg='max'), QDMRStepArg(arg_type='ref', arg=['#3']), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['union', [QDMRStepArg(arg_type='ref', arg=['#4']), QDMRStepArg(arg_type='ref', arg=['#2'])]]]"
SPIDER_dev_50,FALSE,FALSE,medium,"[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|Pets)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Pets|weight), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Pets|PetType), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['group', [QDMRStepArg(arg_type='grounding', arg='max'), QDMRStepArg(arg_type='ref', arg=['#3']), QDMRStepArg(arg_type='ref', arg=['#1'])]], ['union', [QDMRStepArg(arg_type='ref', arg=['#2']), QDMRStepArg(arg_type='ref', arg=['#4']), QDMRStepArg(arg_type='grounding', arg=None), QDMRStepArg(arg_type='grounding', arg=None)]]]","[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|Pets)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Pets|PetType), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Pets|weight), QDMRStepArg(arg_type='ref', arg=['#2'])], False], ['group', [QDMRStepArg(arg_type='grounding', arg='max'), QDMRStepArg(arg_type='ref', arg=['#3']), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['union', [QDMRStepArg(arg_type='ref', arg=['#4']), QDMRStepArg(arg_type='ref', arg=['#2'])]]]"
SPIDER_dev_51,FALSE,FALSE,medium,"[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|Student)], False], ['comparative', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='grounding', arg=comparative|>|20|col|Student|Age)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=tbl|Pets), QDMRStepArg(arg_type='ref', arg=['#2'])], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Pets|PetType), QDMRStepArg(arg_type='ref', arg=['#3'])], False]]","[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|Student)], False], ['comparative', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='grounding', arg=comparative|>|20|col|Student|Age)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=tbl|Has_Pet), QDMRStepArg(arg_type='ref', arg=['#2'])], False], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='count'), QDMRStepArg(arg_type='ref', arg=['#3'])]]]"
SPIDER_dev_52,TRUE,FALSE,medium,,
SPIDER_dev_53,FALSE,FALSE,hard,"[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|Student)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Student|Sex), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['comparative', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2']), QDMRStepArg(arg_type='grounding', arg=comparative|=|F|col|Student|Sex)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=tbl|Pets), QDMRStepArg(arg_type='ref', arg=['#3'])], False], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='count'), QDMRStepArg(arg_type='ref', arg=['#4'])]]]","[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|Student)], False], ['comparative', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='grounding', arg=comparative|=|F|col|Student|Sex)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=val|Pets|PetType|dog), QDMRStepArg(arg_type='ref', arg=['#2'])], False], ['group', [QDMRStepArg(arg_type='grounding', arg='count'), QDMRStepArg(arg_type='ref', arg=['#3']), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['aggregate', [QDMRStepArg(arg_type='grounding', arg='sum'), QDMRStepArg(arg_type='ref', arg=['#4'])]]]"
SPIDER_dev_54,TRUE,FALSE,hard,,
SPIDER_dev_55,TRUE,TRUE,easy,,
SPIDER_dev_56,TRUE,FALSE,easy,,
SPIDER_dev_57,TRUE,FALSE,extra,,
SPIDER_dev_58,TRUE,FALSE,extra,,
SPIDER_dev_59,TRUE,FALSE,extra,,
SPIDER_dev_60,TRUE,FALSE,extra,,
SPIDER_dev_64,FALSE,FALSE,hard,"[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|Student)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=tbl|Pets), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['comparative', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2']), QDMRStepArg(arg_type='grounding', arg=comparative|!=|cat|col|Pets|PetType)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Student|StuID), QDMRStepArg(arg_type='ref', arg=['#3'])], False]]","[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|Student)], False], ['comparative', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='grounding', arg=comparative|=|cat|col|Pets|PetType)], False], ['discard', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Student|StuID), QDMRStepArg(arg_type='ref', arg=['#3'])], False]]"
SPIDER_dev_66,TRUE,FALSE,extra,,
SPIDER_dev_67,TRUE,FALSE,medium,,
SPIDER_dev_68,FALSE,FALSE,medium,"[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|Pets)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Pets|weight), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['superlative', [QDMRStepArg(arg_type='grounding', arg='min'), QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Pets|pet_age), QDMRStepArg(arg_type='ref', arg=['#3'])], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Pets|weight), QDMRStepArg(arg_type='ref', arg=['#3'])], False], ['union', [QDMRStepArg(arg_type='ref', arg=['#4']), QDMRStepArg(arg_type='ref', arg=['#5']), QDMRStepArg(arg_type='grounding', arg=None), QDMRStepArg(arg_type='grounding', arg=None)]]]","[['select', [QDMRStepArg(arg_type='grounding', arg=col|Pets|pet_age)], False], ['superlative', [QDMRStepArg(arg_type='grounding', arg='min'), QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#1'])]], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Pets|PetType), QDMRStepArg(arg_type='ref', arg=['#2'])], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Pets|weight), QDMRStepArg(arg_type='ref', arg=['#2'])], False], ['union', [QDMRStepArg(arg_type='ref', arg=['#3']), QDMRStepArg(arg_type='ref', arg=['#4'])]]]"
SPIDER_dev_69,TRUE,FALSE,medium,,
SPIDER_dev_70,TRUE,FALSE,medium,,
SPIDER_dev_71,FALSE,FALSE,medium,"[['select', [QDMRStepArg(arg_type='grounding', arg=col|Pets|PetType)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=tbl|Pets), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Pets|pet_age), QDMRStepArg(arg_type='ref', arg=['#2'])], False], ['group', [QDMRStepArg(arg_type='grounding', arg='avg'), QDMRStepArg(arg_type='ref', arg=['#3']), QDMRStepArg(arg_type='ref', arg=['#1'])]], ['union', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#4']), QDMRStepArg(arg_type='grounding', arg=None), QDMRStepArg(arg_type='grounding', arg=None)]]]","[['select', [QDMRStepArg(arg_type='grounding', arg=tbl|Pets)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Pets|PetType), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Pets|pet_age), QDMRStepArg(arg_type='ref', arg=['#2'])], False], ['group', [QDMRStepArg(arg_type='grounding', arg='avg'), QDMRStepArg(arg_type='ref', arg=['#3']), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['group', [QDMRStepArg(arg_type='grounding', arg='max'), QDMRStepArg(arg_type='ref', arg=['#3']), QDMRStepArg(arg_type='ref', arg=['#2'])]], ['union', [QDMRStepArg(arg_type='ref', arg=['#2']), QDMRStepArg(arg_type='ref', arg=['#4']), QDMRStepArg(arg_type='ref', arg=['#5'])]]]"
SPIDER_dev_72,FALSE,FALSE,medium,"[['select', [QDMRStepArg(arg_type='grounding', arg=col|Pets|PetType)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Pets|pet_age), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['group', [QDMRStepArg(arg_type='grounding', arg='avg'), QDMRStepArg(arg_type='ref', arg=['#2']), QDMRStepArg(arg_type='ref', arg=['#1'])]], ['union', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#3']), QDMRStepArg(arg_type='grounding', arg=None), QDMRStepArg(arg_type='grounding', arg=None)]]]","[['select', [QDMRStepArg(arg_type='grounding', arg=col|Pets|PetType)], False], ['project', [QDMRStepArg(arg_type='grounding', arg=col|Pets|pet_age), QDMRStepArg(arg_type='ref', arg=['#1'])], False], ['group', [QDMRStepArg(arg_type='grounding', arg='avg'), QDMRStepArg(arg_type='ref', arg=['#2']), QDMRStepArg(arg_type='ref', arg=['#1'])]], ['group', [QDMRStepArg(arg_type='grounding', arg='max'), QDMRStepArg(arg_type='ref', arg=['#2']), QDMRStepArg(arg_type='ref', arg=['#1'])]], ['union', [QDMRStepArg(arg_type='ref', arg=['#1']), QDMRStepArg(arg_type='ref', arg=['#3']), QDMRStepArg(arg_type='ref', arg=['#4'])]]]"
SPIDER_dev_73,TRUE,FALSE,medium,,
SPIDER_dev_74,TRUE,FALSE,medium,,
SPIDER_dev_75,TRUE,FALSE,medium,,
SPIDER_dev_76,TRUE,FALSE,medium,,
SPIDER_dev_77,TRUE,FALSE,medium,,
SPIDER_dev_78,TRUE,FALSE,medium,,
SPIDER_dev_79,TRUE,FALSE,medium,,
