id,source_text,target_text
100,What is the name of the different car makers who produced a car in 1970? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:car_makers, comparative #1 #1 tbl:car_makers, comparative #2 #2 =1970 col:cars_data/Year, project col:car_makers/Maker #3"
101,Find the make and production time of the cars that were produced in the earliest year? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:car_names, project col:cars_data/Year #1, superlative min #1 #2, project col:car_names/Make #3, project col:cars_data/Year #3, union #4 #5"
102,What is the maker of the cars produced in the earliest year and what year was it? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select col:cars_data, project col:cars_data/Year #1, superlative min #1 #2, project col:car_names/Make #3, union #4 #3"
103,Which distinct car models are the produced after 1980? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select col:model_list, comparative #1 #1 >1980 col:cars_data/Year"
104,What are the different models for the cars produced after 1980? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:car_names, comparative #1 #1 >1980 col:cars_data/Year"
105,How many car makers are there in each continents? List the continent name and the count. <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select col:continents, project tbl:car_makers #1, group #2 #1, union #1 #3"
106,What is the name of each continent and how many car makers are there in each one? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select col:continents, project col:continents/Continent #1, project tbl:car_makers #1, group #3 #1, union #2 #4"
107,Which of the countries has the most car makers? List the country name. <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:countries, project tbl:car_makers #1, group #2 #1, superlative max #1 #3, project col:countries/CountryName #4"
108,What is the name of the country with the most car makers? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:car_makers, project tbl:countries #1, group #1 #2, superlative max #2 #3, project col:countries/CountryName #4"
109,How many car models are produced by each maker? Only list the count and the maker full name. <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:car_makers, project tbl:model_list #1, group #2 #1, project col:car_makers/FullName #1, union #3 #4"
110,What is the number of car models that are produced by each maker and what is the id and full name of each maker? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:car_makers, project tbl:model_list #1, group #2 #1, project col:car_makers/Id #1, project col:car_makers/FullName #1, union #3 #4 #5"
111,What is the accelerate of the car make amc hornet sportabout (sw)? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:car_names, comparative #1 #1 =amc hornet sportabout (sw) col:car_names/Make, project col:cars_data/Accelerate #2"
112,How much does the car accelerate that makes amc hornet sportabout (sw)? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select val:car_names, project col:cars_data/Accelerate #1"
113,How many car makers are there in france? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:car_makers, comparative #1 #1 =france col:countries/CountryName, aggregate count #2"
114,What is the number of makers of cars in France? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:car_makers, project tbl:car_makers #1, comparative #2 #2 =france col:countries/CountryName, aggregate count #3"
115,How many car models are produced in the usa? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:model_list, comparative #1 #1 =usa col:countries/CountryName, aggregate count #2"
116,What is the count of the car models produced in the United States? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:model_list, comparative #1 #1 =usa col:countries/CountryName, aggregate count #2"
117,What is the average miles per gallon(mpg) of the cars with 4 cylinders? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:cars_data, select col:cars_data, group #2 #1, comparative #1 #3 =4, project col:cars_data/MPG #4, aggregate avg #5"
118,What is the average miles per gallon of all the cars with 4 cylinders? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:cars_data, project col:cars_data/Cylinders #1, group #2 #1, comparative #1 #3 =4, project col:cars_data/MPG #4, aggregate avg #5"
119,What is the smallest weight of the car produced with 8 cylinders on 1974? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:cars_data, select col:cars_data, group #2 #1, comparative #1 #3 =8, comparative #4 #4 =1974 col:cars_data/Year, project col:cars_data/Weight #5, aggregate min #6"
120,What is the minimum weight of the car with 8 cylinders produced in 1974? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:cars_data, select col:cars_data, group #2 #1, comparative #1 #3 =8, comparative #4 #4 =1974 col:cars_data/Year, project col:cars_data/Weight #5, aggregate min #6"
121,What are all the makers and models? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select col:model_list, project col:model_list/Maker #1, union #2 #1"
122,What are the makers and models? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select col:model_list, select col:model_list, union #1 #2"
123,What are the countries having at least one car maker? List name and id. <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:countries, project tbl:car_makers #1, group #2 #1, comparative #1 #3 >=1, project col:countries/CountryName #4, project col:countries/CountryId #4, union #5 #6"
124,What are the names and ids of all countries with at least one car maker? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:countries, comparative #1 #1 tbl:car_makers, project col:countries/CountryName #2, project col:countries/CountryId #2, union #3 #4"
125,What is the number of the cars with horsepower more than 150? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:cars_data, project col:cars_data/Horsepower #1, comparative #1 #2 >150, aggregate count #3"
126,What is the number of cars with a horsepower greater than 150? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:cars_data, project col:cars_data/Horsepower #1, comparative #1 #2 >150, aggregate count #3"
127,What is the average weight of cars each year? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:cars_data, project col:cars_data/Year #1, project col:cars_data/Weight #1, group #3 #2, union #2 #4"
128,What is the average weight and year for each year? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select col:cars_data, project col:cars_data/Weight #1, group #2 #1, union #1 #3"
129,Which countries in europe have at least 3 car manufacturers? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select col:countries, comparative #1 #1 =europe col:continents/Continent, project tbl:car_makers #2, group #3 #2, comparative #2 #4 >=3"
133,"Which model saves the most gasoline? That is to say, have the maximum miles per gallon. <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>","select col:car_names, project col:cars_data/MPG #1, superlative max #1 #2"
134,What is the car model with the highest mpg? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select col:car_names, project col:cars_data/MPG #1, superlative max #1 #2"
135,What is the average horsepower of the cars before 1980? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:cars_data, comparative #1 #1 <1980 col:cars_data/Year, project col:cars_data/Horsepower #2, aggregate avg #3"
136,What is the average horsepower for all cars produced before 1980? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:cars_data, comparative #1 #1 <1980 col:cars_data/Year, project col:cars_data/Horsepower #2, aggregate avg #3"
137,What is the average edispl of the cars of model volvo? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:car_names, comparative #1 #1 =volvo col:car_names/Model, project col:cars_data/Edispl #2, aggregate avg #3"
138,What is the average edispl for all volvos? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select val:car_names, project col:cars_data/Edispl #1, aggregate avg #2"
139,What is the maximum accelerate for different number of cylinders? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select col:cars_data, project col:cars_data/Accelerate #1, group #2 #1, union #1 #3"
140,What is the maximum accelerate for all the different cylinders? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select col:cars_data, project col:cars_data/Accelerate #1, group #2 #1, union #1 #3"
141,Which model has the most version(make) of cars? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:car_names, select col:car_names, project none #1, group #3 #2, superlative max #2 #4"
142,What model has the most different versions? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select col:car_names, project none #1, group #2 #1, superlative max #1 #3"
143,How many cars have more than 4 cylinders? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:cars_data, project col:cars_data/Cylinders #1, group #2 #1, comparative #1 #3 >4, aggregate count #4"
144,What is the number of cars with more than 4 cylinders? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:cars_data, project col:cars_data/Cylinders #1, group #2 #1, comparative #1 #3 >4, aggregate count #4"
145,how many cars were produced in 1980? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:cars_data, comparative #1 #1 =1980 col:cars_data/Year, aggregate count #2"
146,"In 1980, how many cars were made? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>","select tbl:cars_data, comparative #1 #1 =1980 col:cars_data/Year, aggregate count #2"
147,How many car models were produced by the maker with full name American Motor Company? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:car_makers, project col:car_makers/FullName #1, comparative #1 #2 =American Motor Company, project tbl:model_list #3, aggregate count #4"
148,What is the number of car models created by the car maker American Motor Company? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:model_list, comparative #1 #1 =American Motor Company col:car_makers/FullName, aggregate count #2"
149,Which makers designed more than 3 car models? List full name and the id. <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:car_makers, project tbl:model_list #1, group #2 #1, comparative #1 #3 >3, project col:car_makers/FullName #4, project col:car_makers/Id #4, union #5 #6"
150,What are the names and ids of all makers with more than 3 models? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:car_makers, project tbl:model_list #1, group #2 #1, comparative #1 #3 >3, project col:car_makers/FullName #4, project col:car_makers/Id #4, union #5 #6"
153,In which years cars were produced weighing no less than 3000 and no more than 4000? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select col:cars_data, select tbl:cars_data, comparative #1 #2 <=4000, comparative #3 #2 >=3000, project col:cars_data/Year #4"
154,What are the different years in which there were cars produced that weighed less than 4000 and also cars that weighted more than 3000? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:cars_data, project col:cars_data/Weight #1, comparative #1 #2 <=4000, comparative #1 #2 >=3000, intersection #5 #3 #4"
155,What is the horsepower of the car with the largest accelerate? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:cars_data, project col:cars_data/Accelerate #1, superlative max #1 #2, project col:cars_data/Horsepower #3"
156,What is the horsepower of the car with the greatest accelerate? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:cars_data, project col:cars_data/Accelerate #1, superlative max #1 #2, project col:cars_data/Horsepower #3"
157,"For model volvo, how many cylinders does the car with the least accelerate have? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>","select tbl:car_names, project col:car_names/Model #1, comparative #1 #2 =volvo, project col:cars_data/Accelerate #3, superlative min #3 #4, project col:cars_data/Cylinders #5, aggregate col:cars_data/Cylinders #6"
158,"For a volvo model, how many cylinders does the version with least accelerate have? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>","select val:car_names, project none #1, project col:cars_data/Accelerate #2, superlative min #2 #3, project col:cars_data/Cylinders #4, aggregate col:cars_data/Cylinders #5"
159,How many cars have a larger accelerate than the car with the largest horsepower? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:cars_data, project col:cars_data/Horsepower #1, superlative max #1 #2, project col:cars_data/Accelerate #1, project col:cars_data/Accelerate #3, comparative #1 #4 >#5, aggregate count #6"
160,What is the number of cars with a greater accelerate than the one with the most horsepower? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:cars_data, project col:cars_data/Horsepower #1, superlative max #1 #2, project col:cars_data/Accelerate #1, project col:cars_data/Accelerate #3, comparative #1 #4 >#5, aggregate count #6"
163,How many cars has over 6 cylinders? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:cars_data, project col:cars_data/Cylinders #1, group #2 #1, comparative #1 #3 >6, aggregate count #4"
164,What is the number of cars with over 6 cylinders? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>,"select tbl:cars_data, project col:cars_data/Cylinders #1, group #2 #1, comparative #1 #3 >6, aggregate count #4"
165,"For the cars with 4 cylinders, which model has the largest horsepower? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>","select tbl:car_names, project col:cars_data/Cylinders #1, group #2 #1, comparative #1 #3 =4, project col:car_names/Model #4, project col:cars_data/Horsepower #5, superlative max #5 #6"
166,"For all of the 4 cylinder cars, which model has the most horsepower? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>","select tbl:car_names, project col:cars_data/Cylinders #1, group #2 #1, comparative #1 #3 =4, project col:cars_data/Horsepower #4, project col:car_names/Model #4, superlative max #6 #5"
167,"Among the cars with more than lowest horsepower, which ones do not have more than 3 cylinders? List the car makeid and make name. <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>","select tbl:car_names, project col:cars_data/Horsepower #1, superlative min #1 #2, discard #1 #3, project col:cars_data/Cylinders #4, group #5 #4, comparative #4 #6 <=3, project col:car_names/MakeId #7, project col:car_names/Make #7, union #8 #9"
168,"Among the cars that do not have the minimum horsepower, what are the make ids and names of all those with less than 4 cylinders? <tbl> continents countries car_makers model_list car_names cars_data </tbl> <col> ContId Continent CountryId CountryName Continent Id Maker FullName Country ModelId Maker Model MakeId Model Make Id MPG Cylinders Edispl Horsepower Weight Accelerate Year </col>","select tbl:car_names, project col:cars_data/Horsepower #1, aggregate min #2, comparative #1 #2 >#3, project col:cars_data/Cylinders #4, comparative #4 #5 <4, project col:car_names/MakeId #6, project col:car_names/Make #6, union #7 #8"
