source_text,output_text,alt_text,modify_type
What are the names of the states where at least 3 heads were born?,"select col:head, project tbl:head #1, group #2 #1, comparative #1 #3 greatequal/3, project col:head/born_state #4","select col:head, project tbl:head #1, group #2 #1, comparative #1 #3 greatequal/3",beam
What are the names of the states where at least 3 heads were born?,"select col:head, project tbl:head #1, group #2 #1, comparative #1 #3 greatequal/3, project col:head/born_state #4","select col:head, project col:head/born_state #4, group #2 #1, comparative #1 #3 greatequal/3, project tbl:head #1",order
What are the names of the states where at least 3 heads were born?,"select col:head, project tbl:head #1, group #2 #1, comparative #1 #3 greatequal/3, project col:head/born_state #4","select col:head, project col:head/born_state #4, group #2 #1, comparative #1 #3 great/3, project tbl:head #1",greate/less
In which year were most departments established?,"select col:department, project tbl:department #1, group #2 #1, superlative #1 #3","select col:Department, project tbl:Department #1, group #2 #1, superlative #1 #3",beam
In which year were most departments established?,"select col:department, project tbl:department #1, group #2 #1, superlative #1 #3","select col:department, project tbl:department #1, group #2 #1, superlative #1 #3",greate/less
How many acting statuses are there?,"select col:management, aggregate count #1","select col:manager, aggregate count #1",beam
How many acting statuses are there?,"select col:management, aggregate count #1","select col:management, aggregate count #1",greate/less
What are the distinct ages of the heads who are acting?,"select tbl:head, comparative #1 #1 equal/Yes col:management/temporary_acting","select tbl:head, comparative #1 #1 equal/yes col:management/temporary_acting",beam
What are the distinct ages of the heads who are acting?,"select tbl:head, comparative #1 #1 equal/Yes col:management/temporary_acting","select tbl:head, comparative #1 #1less//Yes col:management/temporary_acting",greate/less
List the states where both the secretary of 'Treasury' department and the secretary of 'Homeland Security' were born.,"select col:head, comparative #1 #1 equal/Treasury col:department/Name, comparative #1 #1 equal/Homeland Security col:department/Name, intersection #1 #2 #3","select col:head, comparative #1 #1 equal/Treasury col:department/Name, comparative #1 #1 equal/Homeland Security col:department/Name, intersection #1 #2 #3.",beam
"Which department has more than 1 head at a time? List the id, name and the number of heads.","select tbl:department, project tbl:head #1, group #2 #1, comparative #1 #3 great/1, project col:department/Department_ID #4, project col:department/Name #4, union #5 #6 #7","select tbl:Department, project tbl:Head #1, group #2 #1, comparative #1 #3 great/1, project col:Department/Department_ID #4, project col:Department/Name #4, union #5 #6 #7",beam
"Which department has more than 1 head at a time? List the id, name and the number of heads.","select tbl:department, project tbl:head #1, group #2 #1, comparative #1 #3 great/1, project col:department/Department_ID #4, project col:department/Name #4, union #5 #6 #7","select tbl:department, project tbl:head #1, group #2 #1, comparative #1 #3 great/1, project col:department/Name #4, project col:department/Department_ID #4, union #5 #6 #7",order
"Which department has more than 1 head at a time? List the id, name and the number of heads.","select tbl:department, project tbl:head #1, group #2 #1, comparative #1 #3 great/1, project col:department/Department_ID #4, project col:department/Name #4, union #5 #6 #7","select tbl:department, project tbl:head #1, group #2 #1, comparative #1 #3 greatequal/1, project col:department/Name #4, project col:department/Department_ID #4, union #5 #6 #7",greate/less
Which head's name has the substring 'Ha'? List the id and name.,"select tbl:head, project col:head/name #1, comparative #1 #2 like%Ha%, project col:head/head_ID #3, project col:head/name #3, union #4 #5","select tbl:head, project col:head/name #1, comparative #1 #2 like%Ha%, project col:head/headID #3, project col:head/name #3, union #4 #5",beam
Which head's name has the substring 'Ha'? List the id and name.,"select tbl:head, project col:head/name #1, comparative #1 #2 like%Ha%, project col:head/head_ID #3, project col:head/name #3, union #4 #5","select tbl:head, project col:head/name #1, project col:head/name #3, project col:head/head_ID #3, comparative #1 #2 like%Ha%, union #4 #5",order
Which head's name has the substring 'Ha'? List the id and name.,"select tbl:head, project col:head/name #1, comparative #1 #2 like%Ha%, project col:head/head_ID #3, project col:head/name #3, union #4 #5","select tbl:head, project col:head/name #1, project col:head/name #3, project col:head/head_ID #3, comparative #1 #2 like%Ha%, union #4 #5",greate/less
How many farms are there?,"select tbl:farm, aggregate count #1","select tbl:farm, aggregate count #2",beam
How many farms are there?,"select tbl:farm, aggregate count #1","select tbl:farm, aggregate count #1",greate/less
Count the number of farms.,"select tbl:farm, aggregate count #1","select tbl:farm, aggregate count #2",beam
Count the number of farms.,"select tbl:farm, aggregate count #1","select tbl:farm, aggregate count #1",greate/less
"What is the total horses record for each farm, sorted ascending?","select tbl:farm, project col:farm/Total_Horses #1, group #2 #1, sort #3 #3 ascending","select tbl:farm, project col:farm/Total_Horses #1, group #2 #1, sort #3 #3",beam
"What is the total horses record for each farm, sorted ascending?","select tbl:farm, project col:farm/Total_Horses #1, group #2 #1, sort #3 #3 ascending","select tbl:farm, project col:farm/Total_Horses #1, group #2 #1, sort #3 #3 ascending",greate/less
"What are the hosts of competitions whose theme is not ""Aliens""?","select tbl:farm_competition, project col:farm_competition/Theme #1, comparative #1 #2 notequal/Aliens, project col:farm_competition/Hosts #3","select col:farm_competition, project col:farm_competition/Theme #1, comparative #1 #2 notequal/Aliens, project col:farm_competition/Hosts #3",beam
"What are the hosts of competitions whose theme is not ""Aliens""?","select tbl:farm_competition, project col:farm_competition/Theme #1, comparative #1 #2 notequal/Aliens, project col:farm_competition/Hosts #3","select tbl:farm_competition, project col:farm_competition/Theme #1, comparative #1 #2 notequal/Aliens, project col:farm_competition/Hosts #3",greate/less
Return the hosts of competitions for which the theme is not Aliens?,"select tbl:farm_competition, project col:farm_competition/Theme #1, comparative #1 #2 notequal/Aliens, project col:farm_competition/Hosts #3","select tbl:farm_competition, project col:farm_competition/Theme #1, comparative #1 #2 notequal/Aliens, project col:farm_competition/Heads #3",beam
Return the hosts of competitions for which the theme is not Aliens?,"select tbl:farm_competition, project col:farm_competition/Theme #1, comparative #1 #2 notequal/Aliens, project col:farm_competition/Hosts #3","select tbl:farm_competition, project col:farm_competition/Theme #1, comparative #1 #2 notequal/Aliens, project col:farm_competition/Hosts #3",greate/less
"Return the themes of farm competitions, sorted by year ascending.","select tbl:farm_competition, project col:farm_competition/Theme #1, project col:farm_competition/Year #1, sort #2 #3 ascending","select tbl:farm_competition, project col:farm_competition/Theme #1, project col:farm_competition/Year #1, sort #2 #3",beam
"Return the themes of farm competitions, sorted by year ascending.","select tbl:farm_competition, project col:farm_competition/Theme #1, project col:farm_competition/Year #1, sort #2 #3 ascending","select tbl:farm_competition, project col:farm_competition/Theme #1, project col:farm_competition/Year #1, sort #2 #3 ascending",greate/less
What are the maximum and minimum number of cows across all farms.,"select tbl:farm, project col:farm/Cows #1, aggregate col:farm/Cows #2, aggregate max #3, aggregate min #3, union #4 #5","select tbl:farm, project col:farm/Cows #1, group #2 #1, aggregate max #3, aggregate min #3, union #4 #5",beam
What are the maximum and minimum number of cows across all farms.,"select tbl:farm, project col:farm/Cows #1, aggregate col:farm/Cows #2, aggregate max #3, aggregate min #3, union #4 #5","select tbl:farm, aggregate min #3, aggregate col:farm/Cows #2, aggregate max #3, project col:farm/Cows #1, union #4 #5",order
What are the maximum and minimum number of cows across all farms.,"select tbl:farm, project col:farm/Cows #1, aggregate col:farm/Cows #2, aggregate max #3, aggregate min #3, union #4 #5","select tbl:farm, aggregate min #3, aggregate col:farm/Cows #2, aggregate max #3, project col:farm/Cows #1, union #4 #5",greate/less
Return the maximum and minimum number of cows across all farms.,"select tbl:farm, project col:farm/Cows #1, aggregate col:farm/Cows #2, aggregate max #3, aggregate min #3, union #4 #5","select tbl:farm, project col:farm/Cows #1, aggregate col:farm/Cows #2, aggregate max #3, aggregate min #3, union #4 #5.",beam
Return the maximum and minimum number of cows across all farms.,"select tbl:farm, project col:farm/Cows #1, aggregate col:farm/Cows #2, aggregate max #3, aggregate min #3, union #4 #5","select tbl:farm, project col:farm/Cows #1, aggregate col:farm/Cows #2, union #4 #5, aggregate min #3, aggregate max #3",order
Return the maximum and minimum number of cows across all farms.,"select tbl:farm, project col:farm/Cows #1, aggregate col:farm/Cows #2, aggregate max #3, aggregate min #3, union #4 #5","select tbl:farm, project col:farm/Cows #1, aggregate col:farm/Cows #2, union #4 #5, aggregate min #3, aggregate max #3",greate/less
How many different statuses do cities have?,"select tbl:city, project col:city/Status #1, aggregate count #3","select tbl:city, project col:city/State #1, aggregate count #3",beam
How many different statuses do cities have?,"select tbl:city, project col:city/Status #1, aggregate count #3","select tbl:city, project col:city/Status #1, aggregate count #3",greate/less
Count the number of different statuses.,"select col:city, aggregate count #1","select col:city, comparative #1 #1 none, count #2",beam
Count the number of different statuses.,"select col:city, aggregate count #1","select col:city, aggregate count #1",greate/less
List official names of cities in descending order of population.,"select tbl:city, project col:city/Population #1, project col:city/Official_Name #1, sort #3 #2 descending","select tbl:city, project col:city/Official_Name #1, project col:city/Population #1, sort #2 #3 descending",beam
List official names of cities in descending order of population.,"select tbl:city, project col:city/Population #1, project col:city/Official_Name #1, sort #3 #2 descending","select tbl:city, project col:city/Population #1, project col:city/Official_Name #1, sort #3 #2 descending",greate/less
"What are the official names of cities, ordered descending by population?","select tbl:city, project col:city/Population #1, project col:city/Official_Name #1, sort #3 #2 descending","select tbl:city, project col:city/Population #1, project col:city/Name #1, sort #3 #2 descending",beam
"What are the official names of cities, ordered descending by population?","select tbl:city, project col:city/Population #1, project col:city/Official_Name #1, sort #3 #2 descending","select tbl:city, project col:city/Population #1, project col:city/Official_Name #1, sort #3 #2 descending",greate/less
List the official name and status of the city with the largest population.,"select tbl:city, project col:city/Population #1, superlative #1 #2, project col:city/Official_Name #3, project col:city/Status #3, union #4 #5","select tbl:city, project col:city/Population #1, superlative #1 #2, project col:city/Official_Name #3, project col:city/Status #3, union #4 #5",beam
List the official name and status of the city with the largest population.,"select tbl:city, project col:city/Population #1, superlative #1 #2, project col:city/Official_Name #3, project col:city/Status #3, union #4 #5","select tbl:city, project col:city/Population #1, superlative #1 #2, union #4 #5, project col:city/Status #3, project col:city/Official_Name #3",order
List the official name and status of the city with the largest population.,"select tbl:city, project col:city/Population #1, superlative #1 #2, project col:city/Official_Name #3, project col:city/Status #3, union #4 #5","select tbl:city, project col:city/Population #1, superlative #1 #2, union #4 #5, project col:city/Status #3, project col:city/Official_Name #3",greate/less
What is the official name and status of the city with the most residents?,"select tbl:city, project col:city/Population #1, group #2 #1, superlative #1 #3, project col:city/Official_Name #4, project col:city/Status #4, union #5 #6","select col:city, project col:city/Population #1, group #2 #1, superlative #1 #3, project col:city/Official_Name #4, project col:city/Status #4, union #5 #6",beam
What is the official name and status of the city with the most residents?,"select tbl:city, project col:city/Population #1, group #2 #1, superlative #1 #3, project col:city/Official_Name #4, project col:city/Status #4, union #5 #6","select tbl:city, project col:city/Population #1, project col:city/Status #4, superlative #1 #3, project col:city/Official_Name #4, group #2 #1, union #5 #6",order
What is the official name and status of the city with the most residents?,"select tbl:city, project col:city/Population #1, group #2 #1, superlative #1 #3, project col:city/Official_Name #4, project col:city/Status #4, union #5 #6","select tbl:city, project col:city/Population #1, project col:city/Status #4, superlative #1 #3, project col:city/Official_Name #4, group #2 #1, union #5 #6",greate/less
Show the years and the official names of the host cities of competitions.,"select tbl:farm_competition, project col:farm_competition/Year #1, project tbl:city #1, project col:city/Official_Name #3, union #2 #4","select tbl:farm_competition, project col:farm_competition/Year #1, project tbl:city #1, project col:city/Open_Name #3, union #2 #4",beam
Show the years and the official names of the host cities of competitions.,"select tbl:farm_competition, project col:farm_competition/Year #1, project tbl:city #1, project col:city/Official_Name #3, union #2 #4","select tbl:farm_competition, project col:city/Official_Name #3, project tbl:city #1, project col:farm_competition/Year #1, union #2 #4",order
Show the years and the official names of the host cities of competitions.,"select tbl:farm_competition, project col:farm_competition/Year #1, project tbl:city #1, project col:city/Official_Name #3, union #2 #4","select tbl:farm_competition, project col:city/Official_Name #3, project tbl:city #1, project col:farm_competition/Year #1, union #2 #4",greate/less
Give the years and official names of the cities of each competition.,"select tbl:farm_competition, project col:farm_competition/Year #1, project tbl:city #1, project col:city/Official_Name #3, union #2 #4","select col:farm_competition, project col:farm_competition/Year #1, project tbl:city #1, project col:city/Official_Name #3, union #2 #4",beam
Give the years and official names of the cities of each competition.,"select tbl:farm_competition, project col:farm_competition/Year #1, project tbl:city #1, project col:city/Official_Name #3, union #2 #4","select tbl:farm_competition, project col:city/Official_Name #3, project tbl:city #1, project col:farm_competition/Year #1, union #2 #4",order
Give the years and official names of the cities of each competition.,"select tbl:farm_competition, project col:farm_competition/Year #1, project tbl:city #1, project col:city/Official_Name #3, union #2 #4","select tbl:farm_competition, project col:city/Official_Name #3, project tbl:city #1, project col:farm_competition/Year #1, union #2 #4",greate/less
Show the official names of the cities that have hosted more than one competition.,"select col:farm_competition, project tbl:city #1, group #2 #1, comparative #1 #3 great/1, project col:city/Official_Name #4","select tbl:city, project tbl:farm_competition #1, group #2 #1, comparative #1 #3 great/1",beam
Show the official names of the cities that have hosted more than one competition.,"select col:farm_competition, project tbl:city #1, group #2 #1, comparative #1 #3 great/1, project col:city/Official_Name #4","select col:farm_competition, group #2 #1, project tbl:city #1, comparative #1 #3 great/1, project col:city/Official_Name #4",order
Show the official names of the cities that have hosted more than one competition.,"select col:farm_competition, project tbl:city #1, group #2 #1, comparative #1 #3 great/1, project col:city/Official_Name #4","select col:farm_competition, group #2 #1, project tbl:city #1, comparative #1 #3 greatequal/1, project col:city/Official_Name #4",greate/less
What are the official names of cities that have hosted more than one competition?,"select tbl:city, project tbl:farm_competition #1, group #2 #1, comparative #1 #3 great/1, project col:city/Official_Name #4","select tbl:city, project tbl:farm_competition #1, group #2 #1, comparative #1 #3 great/1, project col:city/Open_Name #4",beam
What are the official names of cities that have hosted more than one competition?,"select tbl:city, project tbl:farm_competition #1, group #2 #1, comparative #1 #3 great/1, project col:city/Official_Name #4","select tbl:city, comparative #1 #3 great/1, group #2 #1, project tbl:farm_competition #1, project col:city/Official_Name #4",order
What are the official names of cities that have hosted more than one competition?,"select tbl:city, project tbl:farm_competition #1, group #2 #1, comparative #1 #3 great/1, project col:city/Official_Name #4","select tbl:city, comparative #1 #3 greatequal/1, group #2 #1, project tbl:farm_competition #1, project col:city/Official_Name #4",greate/less
Show the status of the city that has hosted the greatest number of competitions.,"select col:farm_competition, superlative #1 #1, project col:city/Status #2","select tbl:city, project tbl:farm_competition #1, group #2 #1, superlative #1 #3",beam
Show the status of the city that has hosted the greatest number of competitions.,"select col:farm_competition, superlative #1 #1, project col:city/Status #2","select col:farm_competition, superlative #1 #1, project col:city/Status #2",greate/less
What is the status of the city that has hosted the most competitions?,"select col:farm_competition, superlative #1 #1, project col:city/Status #2","select tbl:city, project tbl:farm_competition #1, group #2 #1, superlative #1 #3",beam
What is the status of the city that has hosted the most competitions?,"select col:farm_competition, superlative #1 #1, project col:city/Status #2","select col:farm_competition, superlative #1 #1, project col:city/Status #2",greate/less
Please show the themes of competitions with host cities having populations larger than 1000.,"select tbl:farm_competition, project tbl:city #1, project col:city/Population #2, comparative #1 #3 great/1000, project col:farm_competition/Theme #4","select tbl:farm_competition, project col:city/Population #1, comparative #1 #2 great/1000, project col:farm_competition/Theme #3",beam
Please show the themes of competitions with host cities having populations larger than 1000.,"select tbl:farm_competition, project tbl:city #1, project col:city/Population #2, comparative #1 #3 great/1000, project col:farm_competition/Theme #4","select tbl:farm_competition, comparative #1 #3 great/1000, project col:city/Population #2, project tbl:city #1, project col:farm_competition/Theme #4",order
Please show the themes of competitions with host cities having populations larger than 1000.,"select tbl:farm_competition, project tbl:city #1, project col:city/Population #2, comparative #1 #3 great/1000, project col:farm_competition/Theme #4","select tbl:farm_competition, comparative #1 #3  equal1000, project col:city/Population #2, project tbl:city #1, project col:farm_competition/Theme #4",greate/less
What are the themes of competitions that have corresponding host cities with more than 1000 residents?,"select tbl:farm_competition, project tbl:city #1, project col:city/Population #2, group #3 #2, comparative #1 #4 great/1000, project col:farm_competition/Theme #5","select tbl:farm_competition, project col:city/Population #1, group #2 #1, comparative #1 #3 great/1000, project col:farm_competition/Theme #4",beam
What are the themes of competitions that have corresponding host cities with more than 1000 residents?,"select tbl:farm_competition, project tbl:city #1, project col:city/Population #2, group #3 #2, comparative #1 #4 great/1000, project col:farm_competition/Theme #5","select tbl:farm_competition, project tbl:city #1, comparative #1 #4 great/1000, group #3 #2, project col:city/Population #2, project col:farm_competition/Theme #5",order
What are the themes of competitions that have corresponding host cities with more than 1000 residents?,"select tbl:farm_competition, project tbl:city #1, project col:city/Population #2, group #3 #2, comparative #1 #4 great/1000, project col:farm_competition/Theme #5","select tbl:farm_competition, project tbl:city #1, comparative #1 #4 lessequal/1000, group #3 #2, project col:city/Population #2, project col:farm_competition/Theme #5",greate/less
Please show the different statuses of cities and the average population of cities with each status.,"select tbl:city, project col:city/Status #1, project col:city/Population #1, union #2 #3","select col:city, project col:city/Population #1, group #2 #1, union #1 #3",beam
Please show the different statuses of cities and the average population of cities with each status.,"select tbl:city, project col:city/Status #1, project col:city/Population #1, union #2 #3","select tbl:city, project col:city/Status #1, project col:city/Population #1, union #2 #3",greate/less
"Please show the different statuses, ordered by the number of cities that have each.","select col:city, project tbl:city #1, group #2 #1, sort #1 #3","select col:city, project tbl:city #2, group #3 #2, sort #1 #4",beam
"Please show the different statuses, ordered by the number of cities that have each.","select col:city, project tbl:city #1, group #2 #1, sort #1 #3","select col:city, project tbl:city #1, group #2 #1, sort #1 #3",greate/less
List the most common type of Status across cities.,"select tbl:city, project col:city/Statement #1, project col:city/Statement #2, group #1 #3, superlative #3 #4","select tbl:city, project col:city/Status #1, project col:city/Status #2, group #1 #3 most common",beam
List the most common type of Status across cities.,"select tbl:city, project col:city/Statement #1, project col:city/Statement #2, group #1 #3, superlative #3 #4","select tbl:city, superlative #3 #4, project col:city/Statement #2, group #1 #3, project col:city/Statement #1",order
List the most common type of Status across cities.,"select tbl:city, project col:city/Statement #1, project col:city/Statement #2, group #1 #3, superlative #3 #4","select tbl:city, superlative #3 #4, project col:city/Statement #2, group #1 #3, project col:city/Statement #1",greate/less
List the official names of cities that have not held any competition.,"select tbl:city, comparative #1 #1 tbl:farm_competition, discard #1 #2, project col:city/Official_Name #3","select tbl:city, comparative #1 #1 tbl:farm_competition, discard #1 #2, project col:city/Open_Name #3",beam
List the official names of cities that have not held any competition.,"select tbl:city, comparative #1 #1 tbl:farm_competition, discard #1 #2, project col:city/Official_Name #3","select tbl:city, comparative #1 #1 tbl:farm_competition, discard #1 #2, project col:city/Official_Name #3",greate/less
What are the official names of cities that have not hosted a farm competition?,"select tbl:city, comparative #1 #1 tbl:farm_competition, discard #1 #2, project col:city/Official_Name #3","select tbl:city, project tbl:farm_competition #1, group #2 #1, comparative #1 #3 none",beam
What are the official names of cities that have not hosted a farm competition?,"select tbl:city, comparative #1 #1 tbl:farm_competition, discard #1 #2, project col:city/Official_Name #3","select tbl:city, comparative #1 #1 tbl:farm_competition, discard #1 #2, project col:city/Official_Name #3",greate/less
Show the status shared by cities with population bigger than 1500 and smaller than 500.,"select tbl:city, project col:city/Population #1, comparative #1 #2 less/500, comparative #1 #2 great/1500, project col:city/Status #1, intersection #5 #3 #4","select tbl:city, project col:city/Population #1, comparative #1 #2 less/500, comparative #1 #2 great/1500, project col:city/Status #1, intersection #9 #3 #4",beam
Show the status shared by cities with population bigger than 1500 and smaller than 500.,"select tbl:city, project col:city/Population #1, comparative #1 #2 less/500, comparative #1 #2 great/1500, project col:city/Status #1, intersection #5 #3 #4","select tbl:city, project col:city/Population #1, comparative #1 #2 great/1500, comparative #1 #2 less/500, project col:city/Status #1, intersection #5 #3 #4",compara_order
Which statuses correspond to both cities that have a population over 1500 and cities that have a population lower than 500?,"select tbl:city, project col:city/Population #1, comparative #1 #2 less/500, comparative #1 #2 great/1500, project col:city/Status #1, intersection #5 #3 #4","select tbl:city, project col:city/Population #1, comparative #1 #2 less/500, comparative #1 #2 great/1500, intersection #1 #3 #4, project col:city/Status #5",beam
Which statuses correspond to both cities that have a population over 1500 and cities that have a population lower than 500?,"select tbl:city, project col:city/Population #1, comparative #1 #2 less/500, comparative #1 #2 great/1500, project col:city/Status #1, intersection #5 #3 #4","select tbl:city, project col:city/Population #1, comparative #1 #2 great/1500, comparative #1 #2 less/500, project col:city/Status #1, intersection #5 #3 #4",compara_order
Find the official names of cities with population bigger than 1500 or smaller than 500.,"select tbl:city, project col:city/Population #1, comparative #1 #2 less/500, comparative #1 #2 great/1500, union #3 #4, project col:city/Official_Name #5","select tbl:city, project col:city/Population #1, comparative #1 #2 less/5000, comparative #1 #2 great/1500, union #3 #4, project col:city/Official_Name #5",beam
Find the official names of cities with population bigger than 1500 or smaller than 500.,"select tbl:city, project col:city/Population #1, comparative #1 #2 less/500, comparative #1 #2 great/1500, union #3 #4, project col:city/Official_Name #5","select tbl:city, project col:city/Population #1, comparative #1 #2 great/1500, comparative #1 #2 less/500, union #3 #4, project col:city/Official_Name #5",compara_order
What are the official names of cities that have population over 1500 or less than 500?,"select tbl:city, project col:city/Population #1, comparative #1 #2 less/500, comparative #1 #2 great/1500, union #3 #4, project col:city/Official_Name #5","select tbl:city, project col:city/Population #1, comparative #1 #2 less/5000, comparative #1 #2 great/1500, union #3 #4, project col:city/Official_Name #5",beam
What are the official names of cities that have population over 1500 or less than 500?,"select tbl:city, project col:city/Population #1, comparative #1 #2 less/500, comparative #1 #2 great/1500, union #3 #4, project col:city/Official_Name #5","select tbl:city, project col:city/Population #1, comparative #1 #2 great/1500, comparative #1 #2 less/500, union #3 #4, project col:city/Official_Name #5",compara_order
"Show the census ranking of cities whose status are not ""Village"".","select tbl:city, project col:city/Status #1, comparative #1 #2 notequal/Village, project col:city/CensusRanking #3","select tbl:city, project col:city/Status #1, comparative #1 #2 notequal/Village, project col:city/County_Ranking #3",beam
"Show the census ranking of cities whose status are not ""Village"".","select tbl:city, project col:city/Status #1, comparative #1 #2 notequal/Village, project col:city/CensusRanking #3","select tbl:city, project col:city/Status #1, comparative #1 #2 notequal/Village, project col:city/CensusRanking #3",greate/less
"What are the census rankings of cities that do not have the status ""Village""?","select tbl:city, project col:city/Status #1, comparative #1 #2 notequal/Village, project col:city/Census_Ranking #3","select col:city, project col:city/Status #1, comparative #1 #2 notequal/Village, project col:city/Census_Ranking #3",beam
"What are the census rankings of cities that do not have the status ""Village""?","select tbl:city, project col:city/Status #1, comparative #1 #2 notequal/Village, project col:city/Census_Ranking #3","select tbl:city, project col:city/Status #1, comparative #1 #2 notequal/Village, project col:city/Census_Ranking #3",greate/less
which course has most number of registered students?,"select col:Courses, project tbl:Student_Course_Registrations #1, group #2 #1, superlative #1 #3","select col:Courses, project tbl:Student_Course_Registrations #1, aggregate count #2, superlative #1 #3",beam
which course has most number of registered students?,"select col:Courses, project tbl:Student_Course_Registrations #1, group #2 #1, superlative #1 #3","select col:Courses, project tbl:Student_Course_Registrations #1, group #2 #1, superlative #1 #3",greate/less
What is the name of the course with the most registered students?,"select tbl:Courses, project tbl:Student_Course_Registrations #1, group #2 #1, superlative #1 #3, project col:Courses/course_name #4","select tbl:Courses, project tbl:Student_Course_Registrations #1, group #2 #1, superlative #1 #3, project col:Courses/course_title #4",beam
What is the name of the course with the most registered students?,"select tbl:Courses, project tbl:Student_Course_Registrations #1, group #2 #1, superlative #1 #3, project col:Courses/course_name #4","select tbl:Courses, project col:Courses/course_name #4, group #2 #1, superlative #1 #3, project tbl:Student_Course_Registrations #1",order
What is the name of the course with the most registered students?,"select tbl:Courses, project tbl:Student_Course_Registrations #1, group #2 #1, superlative #1 #3, project col:Courses/course_name #4","select tbl:Courses, project col:Courses/course_name #4, group #2 #1, superlative #1 #3, project tbl:Student_Course_Registrations #1",greate/less
what is id of students who registered some courses but the least number of courses in these students?,"select col:Student_Course_Registrations, comparative #1 #1 tbl:Student_Course_Registrations, project tbl:Student_Course_Registrations #2, group #3 #2, superlative #2 #4, project col:Student_Course_Registrations/student_id #5","select col:Student_Course_Registrations, comparative #1 #1 tbl:Student_Course_Registrations, project tbl:Student_Course_Registrations #2, group #3 #2, superlative #2 #4, project col:StuID #5",beam
what is id of students who registered some courses but the least number of courses in these students?,"select col:Student_Course_Registrations, comparative #1 #1 tbl:Student_Course_Registrations, project tbl:Student_Course_Registrations #2, group #3 #2, superlative #2 #4, project col:Student_Course_Registrations/student_id #5","select col:Student_Course_Registrations, comparative #1 #1 tbl:Student_Course_Registrations, project col:Student_Course_Registrations/student_id #5, group #3 #2, superlative #2 #4, project tbl:Student_Course_Registrations #2",order
what is id of students who registered some courses but the least number of courses in these students?,"select col:Student_Course_Registrations, comparative #1 #1 tbl:Student_Course_Registrations, project tbl:Student_Course_Registrations #2, group #3 #2, superlative #2 #4, project col:Student_Course_Registrations/student_id #5","select col:Student_Course_Registrations, comparative #1 #1 tbl:Student_Course_Registrations, project col:Student_Course_Registrations/student_id #5, group #3 #2, superlative #2 #4, project tbl:Student_Course_Registrations #2",greate/less
What are the ids of the students who registered for some courses but had the least number of courses for all students?,"select col:Student_Course_Registrations, project tbl:Student_Course_Registrations #1, group #2 #1, superlative #1 #3, superlative #4 #3, project col:Student_Course_Registrations/student_id #5","select col:Student_Course_Registrations, comparative #1 #1 tbl:Student_Course_Registrations, group #2 #1, superlative #1 #3, superlative #4 #3, project col:Student_Course_Registrations/student_id #5",beam
What are the ids of the students who registered for some courses but had the least number of courses for all students?,"select col:Student_Course_Registrations, project tbl:Student_Course_Registrations #1, group #2 #1, superlative #1 #3, superlative #4 #3, project col:Student_Course_Registrations/student_id #5","select col:Student_Course_Registrations, project tbl:Student_Course_Registrations #1, group #2 #1, superlative #1 #3, project col:Student_Course_Registrations/student_id #5, superlative #4 #3",order
