id,source_text,target_text
15,Which head's name has the substring 'Ha'? List the id and name. <tbl> department head management </tbl> <col> Department_ID Name Creation Ranking Budget_in_Billions Num_Employees head_ID name born_state age department_ID head_ID temporary_acting </col>,"select tbl:head, project col:head/name #1, comparative #1 #2 like%Ha%, project col:head/head_ID #3, project col:head/name #3, union #4 #5"
16,How many farms are there? <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>,"select tbl:farm, aggregate count #1"
17,Count the number of farms. <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>,"select tbl:farm, aggregate count #1"
18,List the total number of horses on farms in ascending order. <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>,"select tbl:farm, project col:farm/Total_Horses #1, aggregate col:farm/Total_Horses #2, sort #3 #3 ascending"
19,"What is the total horses record for each farm, sorted ascending? <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>","select tbl:farm, project col:farm/Total_Horses #1, group #2 #1, sort #3 #3 ascending"
20,"What are the hosts of competitions whose theme is not ""Aliens""? <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>","select tbl:farm_competition, project col:farm_competition/Theme #1, comparative #1 #2 notequal/Aliens, project col:farm_competition/Hosts #3"
21,Return the hosts of competitions for which the theme is not Aliens? <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>,"select tbl:farm_competition, project col:farm_competition/Theme #1, comparative #1 #2 notequal/Aliens, project col:farm_competition/Hosts #3"
23,"Return the themes of farm competitions, sorted by year ascending. <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>","select tbl:farm_competition, project col:farm_competition/Theme #1, project col:farm_competition/Year #1, sort #2 #3 ascending"
26,What are the maximum and minimum number of cows across all farms. <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>,"select tbl:farm, project col:farm/Cows #1, aggregate col:farm/Cows #2, aggregate max #3, aggregate min #3, union #4 #5"
27,Return the maximum and minimum number of cows across all farms. <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>,"select tbl:farm, project col:farm/Cows #1, group #2 #1, aggregate max #3, aggregate min #3, union #4 #5"
28,How many different statuses do cities have? <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>,"select tbl:city, project col:city/Status #1, aggregate count #3"
29,Count the number of different statuses. <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>,"select col:city, aggregate count #1"
30,List official names of cities in descending order of population. <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>,"select tbl:city, project col:city/Official_Name #1, project col:city/Population #1, sort #2 #3 descending"
31,"What are the official names of cities, ordered descending by population? <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>","select tbl:city, project col:city/Population #1, project col:city/Official_Name #1, sort #3 #2 descending"
32,List the official name and status of the city with the largest population. <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>,"select tbl:city, project col:city/Population #1, superlative max #1 #2, project col:city/Official_Name #3, project col:city/Status #3, union #4 #5"
33,What is the official name and status of the city with the most residents? <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>,"select tbl:city, project col:city/Population #1, group #2 #1, superlative max #1 #3, project col:city/Official_Name #4, project col:city/Status #4, union #5 #6"
34,Show the years and the official names of the host cities of competitions. <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>,"select tbl:farm_competition, project col:farm_competition/Year #1, project tbl:city #1, project col:city/Official_Name #3, union #2 #4"
35,Give the years and official names of the cities of each competition. <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>,"select tbl:farm_competition, project col:farm_competition/Year #1, project tbl:city #1, project col:city/Official_Name #3, union #2 #4"
36,Show the official names of the cities that have hosted more than one competition. <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>,"select tbl:city, project tbl:farm_competition #1, group #2 #1, comparative #1 #3 great/1, project col:city/Official_Name #4"
37,What are the official names of cities that have hosted more than one competition? <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>,"select tbl:city, project tbl:farm_competition #1, group #2 #1, comparative #1 #3 great/1, project col:city/Official_Name #4"
38,Show the status of the city that has hosted the greatest number of competitions. <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>,"select tbl:city, project tbl:farm_competition #1, group #2 #1, superlative max #1 #3, project col:city/Status #4"
39,What is the status of the city that has hosted the most competitions? <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>,"select col:farm_competition, superlative max #1 #1, project col:city/Status #2"
40,Please show the themes of competitions with host cities having populations larger than 1000. <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>,"select tbl:farm_competition, project tbl:city #1, project col:city/Population #2, comparative #1 #3 great/1000, project col:farm_competition/Theme #4"
41,What are the themes of competitions that have corresponding host cities with more than 1000 residents? <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>,"select tbl:farm_competition, project tbl:city #1, project col:city/Population #2, group #3 #2, comparative #1 #4 great/1000, project col:farm_competition/Theme #5"
42,Please show the different statuses of cities and the average population of cities with each status. <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>,"select tbl:city, project col:city/Status #1, project col:city/Population #1, group #3 #2, union #2 #4"
44,"Please show the different statuses, ordered by the number of cities that have each. <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>","select col:city, project tbl:city #1, group #2 #1, sort #1 #3"
46,List the most common type of Status across cities. <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>,"select tbl:city, project col:city/Status #1, project col:city/Status #2, group #1 #3, superlative max #3 #4"
48,List the official names of cities that have not held any competition. <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>,"select tbl:city, comparative #1 #1 tbl:farm_competition, discard #1 #2, project col:city/Official_Name #3"
49,What are the official names of cities that have not hosted a farm competition? <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>,"select tbl:city, project tbl:farm_competition #1, group #2 #1, comparative #1 #3 none, discard #1 #4, project col:city/Official_Name #5"
50,Show the status shared by cities with population bigger than 1500 and smaller than 500. <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>,"select tbl:city, project col:city/Population #1, comparative #1 #2 less/500, comparative #1 #2 great/1500, project col:city/Status #1, intersection #5 #3 #4"
51,Which statuses correspond to both cities that have a population over 1500 and cities that have a population lower than 500? <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>,"select tbl:city, project col:city/Population #1, comparative #1 #2 less/500, comparative #1 #2 great/1500, project col:city/Status #1, intersection #5 #3 #4"
52,Find the official names of cities with population bigger than 1500 or smaller than 500. <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>,"select tbl:city, project col:city/Population #1, comparative #1 #2 less/500, comparative #1 #2 great/1500, union #3 #4, project col:city/Official_Name #5"
53,What are the official names of cities that have population over 1500 or less than 500? <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>,"select tbl:city, project col:city/Population #1, comparative #1 #2 less/500, comparative #1 #2 great/1500, union #3 #4, project col:city/Official_Name #5"
54,"Show the census ranking of cities whose status are not ""Village"". <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>","select tbl:city, project col:city/Status #1, comparative #1 #2 notequal/Village, project col:city/Census_Ranking #3"
55,"What are the census rankings of cities that do not have the status ""Village""? <tbl> city farm farm_competition competition_record </tbl> <col> City_ID Official_Name Status Area_km_2 Population Census_Ranking Farm_ID Year Total_Horses Working_Horses Total_Cattle Oxen Bulls Cows Pigs Sheep_and_Goats Competition_ID Year Theme Host_city_ID Hosts Competition_ID Farm_ID Rank </col>","select tbl:city, project col:city/Status #1, comparative #1 #2 notequal/Village, project col:city/Census_Ranking #3"
56,which course has most number of registered students? <tbl> Addresses People Students Courses People_Addresses Student_Course_Registrations Student_Course_Attendance Candidates Candidate_Assessments </tbl> <col> address_id line_1 line_2 city zip_postcode state_province_county country person_id first_name middle_name last_name cell_mobile_number email_address login_name password student_id student_details course_id course_name course_description other_details person_address_id person_id address_id date_from date_to student_id course_id registration_date student_id course_id date_of_attendance candidate_id candidate_details candidate_id qualification assessment_date asessment_outcome_code </col>,"select col:Courses, project tbl:Student_Course_Registrations #1, group #2 #1, superlative max #1 #3"
57,What is the name of the course with the most registered students? <tbl> Addresses People Students Courses People_Addresses Student_Course_Registrations Student_Course_Attendance Candidates Candidate_Assessments </tbl> <col> address_id line_1 line_2 city zip_postcode state_province_county country person_id first_name middle_name last_name cell_mobile_number email_address login_name password student_id student_details course_id course_name course_description other_details person_address_id person_id address_id date_from date_to student_id course_id registration_date student_id course_id date_of_attendance candidate_id candidate_details candidate_id qualification assessment_date asessment_outcome_code </col>,"select tbl:Courses, project tbl:Student_Course_Registrations #1, group #2 #1, superlative max #1 #3, project col:Courses/course_name #4"
58,what is id of students who registered some courses but the least number of courses in these students? <tbl> Addresses People Students Courses People_Addresses Student_Course_Registrations Student_Course_Attendance Candidates Candidate_Assessments </tbl> <col> address_id line_1 line_2 city zip_postcode state_province_county country person_id first_name middle_name last_name cell_mobile_number email_address login_name password student_id student_details course_id course_name course_description other_details person_address_id person_id address_id date_from date_to student_id course_id registration_date student_id course_id date_of_attendance candidate_id candidate_details candidate_id qualification assessment_date asessment_outcome_code </col>,"select col:Student_Course_Registrations, comparative #1 #1 tbl:Student_Course_Registrations, project tbl:Student_Course_Registrations #2, group #3 #2, superlative min #2 #4, project col:Student_Course_Registrations/student_id #5"
59,What are the ids of the students who registered for some courses but had the least number of courses for all students? <tbl> Addresses People Students Courses People_Addresses Student_Course_Registrations Student_Course_Attendance Candidates Candidate_Assessments </tbl> <col> address_id line_1 line_2 city zip_postcode state_province_county country person_id first_name middle_name last_name cell_mobile_number email_address login_name password student_id student_details course_id course_name course_description other_details person_address_id person_id address_id date_from date_to student_id course_id registration_date student_id course_id date_of_attendance candidate_id candidate_details candidate_id qualification assessment_date asessment_outcome_code </col>,"select col:Student_Course_Registrations, project tbl:Student_Course_Registrations #1, group #2 #1, superlative min #1 #3, superlative min #4 #3, project col:Student_Course_Registrations/student_id #5"
60,what are the first name and last name of all candidates? <tbl> Addresses People Students Courses People_Addresses Student_Course_Registrations Student_Course_Attendance Candidates Candidate_Assessments </tbl> <col> address_id line_1 line_2 city zip_postcode state_province_county country person_id first_name middle_name last_name cell_mobile_number email_address login_name password student_id student_details course_id course_name course_description other_details person_address_id person_id address_id date_from date_to student_id course_id registration_date student_id course_id date_of_attendance candidate_id candidate_details candidate_id qualification assessment_date asessment_outcome_code </col>,"select tbl:Candidates, project col:People/first_name #1, project col:People/last_name #1, union #2 #3"
61,What are the first and last names of all the candidates? <tbl> Addresses People Students Courses People_Addresses Student_Course_Registrations Student_Course_Attendance Candidates Candidate_Assessments </tbl> <col> address_id line_1 line_2 city zip_postcode state_province_county country person_id first_name middle_name last_name cell_mobile_number email_address login_name password student_id student_details course_id course_name course_description other_details person_address_id person_id address_id date_from date_to student_id course_id registration_date student_id course_id date_of_attendance candidate_id candidate_details candidate_id qualification assessment_date asessment_outcome_code </col>,"select tbl:Candidates, project col:People/first_name #1, project col:People/last_name #1, union #2 #3"
64,List the id of students who attended some courses? <tbl> Addresses People Students Courses People_Addresses Student_Course_Registrations Student_Course_Attendance Candidates Candidate_Assessments </tbl> <col> address_id line_1 line_2 city zip_postcode state_province_county country person_id first_name middle_name last_name cell_mobile_number email_address login_name password student_id student_details course_id course_name course_description other_details person_address_id person_id address_id date_from date_to student_id course_id registration_date student_id course_id date_of_attendance candidate_id candidate_details candidate_id qualification assessment_date asessment_outcome_code </col>,"select tbl:Student_Course_Attendance, comparative #1 #1 tbl:Student_Course_Attendance, project col:Student_Course_Attendance/student_id #2"
65,What are the ids of all students who have attended at least one course? <tbl> Addresses People Students Courses People_Addresses Student_Course_Registrations Student_Course_Attendance Candidates Candidate_Assessments </tbl> <col> address_id line_1 line_2 city zip_postcode state_province_county country person_id first_name middle_name last_name cell_mobile_number email_address login_name password student_id student_details course_id course_name course_description other_details person_address_id person_id address_id date_from date_to student_id course_id registration_date student_id course_id date_of_attendance candidate_id candidate_details candidate_id qualification assessment_date asessment_outcome_code </col>,"select tbl:Student_Course_Attendance, project tbl:Student_Course_Attendance #1, group #2 #1, comparative #1 #3 none, project col:Student_Course_Attendance/student_id #4"
66,What are the ids of all students for courses and what are the names of those courses? <tbl> Addresses People Students Courses People_Addresses Student_Course_Registrations Student_Course_Attendance Candidates Candidate_Assessments </tbl> <col> address_id line_1 line_2 city zip_postcode state_province_county country person_id first_name middle_name last_name cell_mobile_number email_address login_name password student_id student_details course_id course_name course_description other_details person_address_id person_id address_id date_from date_to student_id course_id registration_date student_id course_id date_of_attendance candidate_id candidate_details candidate_id qualification assessment_date asessment_outcome_code </col>,"select tbl:Student_Course_Registrations, project tbl:Student_Course_Registrations #1, project col:Student_Course_Registrations/student_id #2, project col:Courses/course_name #1, union #3 #4"
67,What is detail of the student who most recently registered course? <tbl> Addresses People Students Courses People_Addresses Student_Course_Registrations Student_Course_Attendance Candidates Candidate_Assessments </tbl> <col> address_id line_1 line_2 city zip_postcode state_province_county country person_id first_name middle_name last_name cell_mobile_number email_address login_name password student_id student_details course_id course_name course_description other_details person_address_id person_id address_id date_from date_to student_id course_id registration_date student_id course_id date_of_attendance candidate_id candidate_details candidate_id qualification assessment_date asessment_outcome_code </col>,"select tbl:Student_Course_Registrations, project col:Student_Course_Registrations/registration_date #1, superlative max #1 #2, project col:Students/student_details #3"
68,What details do we have on the students who registered for courses most recently? <tbl> Addresses People Students Courses People_Addresses Student_Course_Registrations Student_Course_Attendance Candidates Candidate_Assessments </tbl> <col> address_id line_1 line_2 city zip_postcode state_province_county country person_id first_name middle_name last_name cell_mobile_number email_address login_name password student_id student_details course_id course_name course_description other_details person_address_id person_id address_id date_from date_to student_id course_id registration_date student_id course_id date_of_attendance candidate_id candidate_details candidate_id qualification assessment_date asessment_outcome_code </col>,"select tbl:Student_Course_Registrations, project col:Student_Course_Registrations/registration_date #1, superlative max #1 #2, project col:Students/student_details #3"
69,How many students attend course English? <tbl> Addresses People Students Courses People_Addresses Student_Course_Registrations Student_Course_Attendance Candidates Candidate_Assessments </tbl> <col> address_id line_1 line_2 city zip_postcode state_province_county country person_id first_name middle_name last_name cell_mobile_number email_address login_name password student_id student_details course_id course_name course_description other_details person_address_id person_id address_id date_from date_to student_id course_id registration_date student_id course_id date_of_attendance candidate_id candidate_details candidate_id qualification assessment_date asessment_outcome_code </col>,"select tbl:Student_Course_Attendance, project tbl:Student_Course_Attendance #1, comparative #2 #1 equal/English, aggregate count #3"
70,How many students are attending English courses? <tbl> Addresses People Students Courses People_Addresses Student_Course_Registrations Student_Course_Attendance Candidates Candidate_Assessments </tbl> <col> address_id line_1 line_2 city zip_postcode state_province_county country person_id first_name middle_name last_name cell_mobile_number email_address login_name password student_id student_details course_id course_name course_description other_details person_address_id person_id address_id date_from date_to student_id course_id registration_date student_id course_id date_of_attendance candidate_id candidate_details candidate_id qualification assessment_date asessment_outcome_code </col>,"select tbl:Student_Course_Attendance, project tbl:Student_Course_Attendance #1, comparative #1 #2 equal/English, aggregate count #3"
71,How many courses do the student whose id is 171 attend? <tbl> Addresses People Students Courses People_Addresses Student_Course_Registrations Student_Course_Attendance Candidates Candidate_Assessments </tbl> <col> address_id line_1 line_2 city zip_postcode state_province_county country person_id first_name middle_name last_name cell_mobile_number email_address login_name password student_id student_details course_id course_name course_description other_details person_address_id person_id address_id date_from date_to student_id course_id registration_date student_id course_id date_of_attendance candidate_id candidate_details candidate_id qualification assessment_date asessment_outcome_code </col>,"select tbl:Student_Course_Attendance, project col:Courses/course_id #1, comparative #1 #2 equal/171, project tbl:Student_Course_Attendance #3, aggregate count #4"
72,How many courses does the student with id 171 actually attend? <tbl> Addresses People Students Courses People_Addresses Student_Course_Registrations Student_Course_Attendance Candidates Candidate_Assessments </tbl> <col> address_id line_1 line_2 city zip_postcode state_province_county country person_id first_name middle_name last_name cell_mobile_number email_address login_name password student_id student_details course_id course_name course_description other_details person_address_id person_id address_id date_from date_to student_id course_id registration_date student_id course_id date_of_attendance candidate_id candidate_details candidate_id qualification assessment_date asessment_outcome_code </col>,"select tbl:Student_Course_Attendance, project tbl:Student_Course_Attendance #1, comparative #2 #2 equal/171 col:Student_Course_Attendance/student_id, aggregate count #3"
73,Find id of the candidate whose email is stanley.monahan@example.org? <tbl> Addresses People Students Courses People_Addresses Student_Course_Registrations Student_Course_Attendance Candidates Candidate_Assessments </tbl> <col> address_id line_1 line_2 city zip_postcode state_province_county country person_id first_name middle_name last_name cell_mobile_number email_address login_name password student_id student_details course_id course_name course_description other_details person_address_id person_id address_id date_from date_to student_id course_id registration_date student_id course_id date_of_attendance candidate_id candidate_details candidate_id qualification assessment_date asessment_outcome_code </col>,"select tbl:Candidates, project col:People/email_address #1, comparative #1 #2 equal/stanley.monahan@example.org, project col:Candidates/candidate_id #3"
74,What is the id of the candidate whose email is stanley.monahan@example.org? <tbl> Addresses People Students Courses People_Addresses Student_Course_Registrations Student_Course_Attendance Candidates Candidate_Assessments </tbl> <col> address_id line_1 line_2 city zip_postcode state_province_county country person_id first_name middle_name last_name cell_mobile_number email_address login_name password student_id student_details course_id course_name course_description other_details person_address_id person_id address_id date_from date_to student_id course_id registration_date student_id course_id date_of_attendance candidate_id candidate_details candidate_id qualification assessment_date asessment_outcome_code </col>,"select tbl:Candidates, project col:People/email_address #1, comparative #1 #2 equal/stanley.monahan@example.org, project col:Candidates/candidate_id #3"
